algo,n,NMI_mean,NMI_std,Time_mean,Time_std,Iterations_mean,Iterations_std,Time_it_mean,Time_it_std
OtrisymNMF_rdm,1000,0.7562,0.0589,0.51,0.10,17.70,3.50,0.03,0.00
OtrisymNMF_SVCA,1000,0.9636,0.0289,0.26,0.08,7.60,2.72,0.03,0.00
SVCA,1000,0.9483,0.0222,0.03,0.00,1.00,0.00,0.02,0.00
OtrisymNMF_rdm,2000,0.7680,0.0346,1.56,0.44,21.20,5.37,0.07,0.01
OtrisymNMF_SVCA,2000,0.9588,0.0122,0.60,0.17,7.60,2.37,0.07,0.00
SVCA,2000,0.9490,0.0149,0.06,0.01,1.00,0.00,0.06,0.01
OtrisymNMF_rdm,5000,0.7182,0.0286,6.06,1.00,23.60,4.03,0.26,0.01
OtrisymNMF_SVCA,5000,0.9633,0.0130,2.38,0.53,7.90,1.97,0.26,0.01
SVCA,5000,0.9388,0.0148,0.32,0.02,1.00,0.00,0.31,0.02
OtrisymNMF_rdm,10000,0.6965,0.0416,16.63,3.39,22.40,3.20,0.74,0.09
OtrisymNMF_SVCA,10000,0.9682,0.0156,7.33,1.29,7.70,1.77,0.75,0.14
SVCA,10000,0.9414,0.0109,1.67,0.13,1.00,0.00,1.65,0.13
OtrisymNMF_rdm,20000,0.6392,0.0326,49.34,10.29,24.40,3.44,2.02,0.27
OtrisymNMF_SVCA,20000,0.9599,0.0163,22.19,5.64,8.70,2.98,1.92,0.09
SVCA,20000,0.9348,0.0081,5.79,0.19,1.00,0.00,5.76,0.19
OtrisymNMF_rdm,50000,0.6121,0.0271,161.91,30.30,20.80,3.49,7.78,1.42
OtrisymNMF_SVCA,50000,0.9649,0.0100,73.32,7.96,6.30,1.06,7.08,0.12
SVCA,50000,0.9253,0.0082,29.03,0.58,1.00,0.00,28.96,0.58
OtrisymNMF_rdm,100000,0.5708,0.0237,383.49,58.58,18.90,2.64,20.28,1.12
OtrisymNMF_SVCA,100000,0.9636,0.0104,246.43,23.05,6.80,1.23,19.70,0.76
SVCA,100000,0.9149,0.0062,111.04,2.46,1.00,0.00,110.90,2.46
